,smiles1,smiles2,smiles3,c1,c2,c3,OHCond(mS/cm)_predicted,WU(wt%)_predicted,Swelling(%)_predicted,OHCond(mS/cm)_error,WU(wt%)_error,Swelling(%)_error,OHCond(mS/cm)_predicted_scaled,WU(wt%)_predicted_scaled,Swelling(%)_predicted_scaled,OHCond(mS/cm)_scaled_error,WU(wt%)_scaled_error,Swelling(%)_scaled_error,OHCond(mS/cm)_EI,WU(wt%)_EI,Swelling(%)_EI,Total_EI
171,*C1=CC(CN2N=NC(C[N+](C)(C)CCCCCCCCCCCCCC)=C2)=C(C(C)=C1)O*.[Br-],CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,C[n+]%11ccn(CCCCCCOc%10cc(C8(c5cc(OCCCCCCn1cc[n+](C)c1)c(Oc3ccc(S(=O)(=O)c2ccc(*)cc2)cc3)c(OCCCCCn4cc[n+](C)c4)c5)c6ccccc6c7ccccc78)cc(OCCCCCCn9cc[n+](C)c9)c%10O*)c%11.[Br-],0.1,0.7000000000000001,0.2,2.134817489444973,1.4268407968770278,1.386936611408391,1.1195020467288817,1.2004516271545946,0.9252269544831833,0.6302770780856424,0.6792733228193617,0.7159788796068196,0.6239135057119476,0.602338843228134,0.6047467393048173,0.28220318941168493,0.2111187011837257,0.11425959624188314,0.6075814868372937
172,CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,C[N+](C)(C)CCCCCCCCC(C*)*.[OH-],C[n+]%11ccn(CCCCCCOc%10cc(C8(c5cc(OCCCCCCn1cc[n+](C)c1)c(Oc3ccc(S(=O)(=O)c2ccc(*)cc2)cc3)c(OCCCCCn4cc[n+](C)c4)c5)c6ccccc6c7ccccc78)cc(OCCCCCCn9cc[n+](C)c9)c%10O*)c%11.[Br-],0.7000000000000001,0.1,0.2,2.1714826938962704,1.4826267849442654,1.4171605574402764,1.0966116481696635,1.1763034885046504,0.9081244880816225,0.8019899244332489,0.8320544704597843,0.7506434290636044,0.6082112872984066,0.5859519785634375,0.58951252564352,0.3413265850141337,0.1636047709233235,0.1021136495835907,0.6070450055210479
173,CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,CCCC[N+]4(C)CCC(*)(c3ccc(c2ccc(c1ccc(*)cc1)cc2)cc3)CC4.[OH-],CCc3cc(C(C)(C)c2cc(CC)c(Oc1cccc(*)c1C#N)c(CC)c2)cc(C[N+](C)(C)CCN(C)C)c3O*.[OH-],0.6000000000000001,0.1,0.3,2.029046684378669,1.516488741274309,1.2851229853884747,1.3143240416882698,1.4055429362778415,1.0862231276691063,0.13492443324937042,0.9247922479679724,0.599206454496656,0.7575563301782848,0.7415132771349,0.7481558852945291,0.19890830142611501,0.21297038945216606,0.19515906255373228,0.6070377534320134
174,CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,CC1=[N+](C=CN1CCCCCCC2(c3c(c4c2cc(c5ccc(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)cc5)cc4)ccc(c8ccc(O*)cc8)c3)CCCCCCN9C=C[N+](C)=C9C)C.[Br-],Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-],0.6000000000000001,0.2,0.2,2.1577083666849206,1.5259183728056747,1.4153756647253692,1.154077162484517,1.2360299181723589,0.9531473152722876,0.7374811083123429,0.9506171903433218,0.7485962939302342,0.647631136397317,0.6264821798372535,0.6296171136575425,0.3369276725378129,0.15464929021442592,0.11540834514398382,0.6069853078962226
175,CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,CCCCCC[N+]4(C)CCC(*)(c3ccc(c2ccc(c1ccc(*)cc1)cc2)cc3)CC4.[OH-],CCc3cc(C(C)(C)c2cc(CC)c(Oc1cccc(*)c1C#N)c(CC)c2)cc(C[N+](C)(C)CCN(C)C)c3O*.[OH-],0.6000000000000001,0.1,0.3,2.025531837509236,1.511405710302029,1.2861818200498603,1.3151412204632604,1.4063998218784102,1.0870316915074951,0.11846347607052898,0.9108713453839625,0.6004208566944178,0.7581168935767166,0.7420947574954857,0.7488761225973599,0.19503936943755892,0.2167903408217625,0.19508569907397488,0.6069154093332962
176,CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,C[N+](C)(C)Cc2cc(c1ccc(O*)cc1)ccc2Oc4ccc(S(=O)(=O)c3ccc(*)cc3)cc4,Cc2cc(Oc1c(C)cc(*)cc1CNCC(O)C[N+](C)(C)C)cc(CN(CC(O)C[N+](C)(C)C)CC(O)C[N+](C)(C)C)c2O*.[OH-],0.6000000000000001,0.2,0.2,2.026451560255484,1.4452266403884186,1.225107524959522,1.217577589016973,1.3105338661796995,1.057842920147269,0.12277078085642223,0.7296266529176272,0.5303733215226769,0.6911907784099327,0.6770403669787164,0.7228758973098622,0.1656715223738201,0.2341363559425222,0.2057261426884019,0.6055340210047442
177,CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,Cc5c([N+](C)(C)C)c(Br)cc(C(c1ccc(O*)c(Br)c1[N+](C)(C)C)c4cc(Br)c(Oc3ccc(C(=O)c2ccc(*)cc2)cc3)cc4[N+](C)(C)C)c5[N+](C)(C)C.[Br-],Cn4cc[n+](CCCCCCOc1cc(O*)ccc1Oc3ccc(S(=O)(=O)c2ccc(*)cc2)cc3)c4.[Br-],0.6000000000000001,0.2,0.2,2.026443492512096,1.4768211662357296,1.2717015887226433,1.2885829102760669,1.3652242138089783,1.056417395275797,0.12273299748110844,0.8161546160378501,0.5838131412604883,0.7398985831276857,0.7141530959578615,0.7216060950508432,0.18770511612543883,0.22835682546165972,0.18942387216113718,0.6054858137482357
178,*C1=C(Br)C(C)=C(O*)C(C)=C1,*C1=CC(CN2N=NC(C[N+](C)(C)CCCCCCCCCC)=C2)=C(C(C)=C1)O*.[Br-],CCCCCCCC[N+]4(C)CCC(*)(c3ccc(c2ccc(c1ccc(*)cc1)cc2)cc3)CC4.[OH-],0.4,0.3,0.3,2.0028641678363606,1.4652680680618049,1.2967114413799747,1.2336769501702354,1.3162815140384847,1.2211651513895996,0.012304785894206915,0.7845141332039303,0.6124975252728324,0.7022345216847827,0.6809407060055699,0.8683570055878123,0.1460322198573596,0.22072225480184776,0.23788648494686723,0.6046409596060746
179,*C1=C(Br)C(C)=C(O*)C(C)=C1,*C1=CC(C[N+](C)(C)CCCCCCCCCC)=C(O*)C(C)=C1.[Br-],CCc3cc(C(C)(C)c2cc(CC)c(Oc1cccc(*)c1C#N)c(CC)c2)cc(C[N+](C)(C)CCN(C)C)c3O*.[OH-],0.4,0.4,0.2,2.0238725716190755,1.5066023014039318,1.379597730494855,1.3146621846296451,1.4026365406735735,1.1687771123629949,0.11069269521410519,0.897716244085891,0.7075617457184671,0.7577882874466013,0.7395410045668311,0.8216917725688577,0.1929611059422224,0.21896357097239996,0.1927094910601724,0.6046341679747947
180,CC(C)(c3ccc(Oc2ccc(S(=O)(=O)c1ccc(O*)cc1)cc2)cc3)c4ccc(*)cc4,CC1=[N+](C=CN1CCCCCCC2(c3c(c4c2cc(c5ccc(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)cc5)cc4)ccc(c8ccc(O*)cc8)c3)CCCCCCN9C=C[N+](C)=C9C)C.[Br-],C[N+](C)(C)CC(O)CN(Cc2cc(c1ccc(O*)cc1)ccc2Oc4ccc(S(=O)(=O)c3ccc(*)cc3)cc4)CC(O)C[N+](C)(C)C,0.6000000000000001,0.1,0.3,2.0325023677965888,1.4028099097096023,1.2300475670099527,1.186510706278108,1.2703053421951065,1.0050180267245679,0.15110831234257027,0.6134599053742567,0.5360391711041674,0.669879704383348,0.6497413942606869,0.6758215313405629,0.16277711415306917,0.25488865574822583,0.18568787828446318,0.6033536481857582
